Title,Release year,IMDB Rating,Votes,Genre,Certificate,Runtime (min),Director,Main Cast,Budget,Gross Revenue,Profit
La haine,1996,8.1,216833,"Crime, Drama",Not Rated,98,Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui",,,
Jai Bhim,2021,8.6,229284,"Crime, Drama",A,164,T.J. Gnanavel,"Suriya, Lijo Mol Jose, Manikandan K.",,,
Det sjunde inseglet,1957,8.1,211556,"Drama, Fantasy",A,96,Ingmar Bergman,"Max von Sydow, Gunnar Björnstrand, Bengt Ekerot",150000,,
Room,2016,8.1,472502,"Drama, Thriller",U,118,Lenny Abrahamson,"Brie Larson, Jacob Tremblay, Sean Bridgers",13000000,35402766,22402766
Hotel Rwanda,2005,8.1,386794,"Biography, Drama, History",UA,121,Terry George,"Don Cheadle, Sophie Okonedo, Joaquin Phoenix",17500000,33882243,16382243
Platoon,1989,8.1,461867,"Drama, War",UA,120,Oliver Stone,"Charlie Sheen, Tom Berenger, Willem Dafoe",6000000,138546255,132546255
The Best Years of Our Lives,1947,8.1,75773,"Drama, Romance, War",Approved,170,William Wyler,"Myrna Loy, Dana Andrews, Fredric March",2100000,,
Before Sunset,2004,8.1,306817,"Drama, Romance",A,80,Richard Linklater,"Ethan Hawke, Julie Delpy, Vernon Dobtcheff",2700000,16507258,13807258
The Sound of Music,2014,8.1,281617,"Biography, Drama, Family",U,172,Robert Wise,"Julie Andrews, Christopher Plummer, Eleanor Parker",8200000,161104117,152904117
The Exorcist,1977,8.1,485201,Horror,A,122,William Friedkin,"Ellen Burstyn, Max von Sydow, Linda Blair",11000000,430872776,419872776
The Incredibles,2011,8,871942,"Animation, Action, Adventure",U,115,Brad Bird,"Craig T. Nelson, Samuel L. Jackson, Holly Hunter",92000000,631688498,539688498
Hachi: A Dog&apos;s Tale,2017,8.1,333408,"Biography, Drama, Family",U,93,Lasse Hallström,"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa",16000000,,
Rush,2013,8.1,545021,"Biography, Drama, Sport",R,123,Ron Howard,"Daniel Brühl, Chris Hemsworth, Olivia Wilde",38000000,93329761,55329761
The Wizard of Oz,1952,8.1,456209,"Adventure, Family, Fantasy",U,102,Victor Fleming,"Judy Garland, Frank Morgan, Ray Bolger",2777000,25637669,22860669
Koe no Katachi,2019,8.1,127992,"Animation, Drama",16,130,Naoko Yamada,"Miyu Irino, Saori Hayami, Aoi Yûki",1079689,,
La passion de Jeanne d&apos;Arc,1928,8.1,66318,"Biography, Drama, History",Passed,110,Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain, André Berley",21877,,
Stand by Me,1986,8.1,471950,"Adventure, Comedy, Drama",U,89,Rob Reiner,"Wil Wheaton, River Phoenix, Corey Feldman",8000000,53525035,45525035
The Iron Giant,1999,8.1,250490,"Animation, Action, Adventure",U,86,Brad Bird,"Eli Marienthal, Harry Connick Jr., Jennifer Aniston",70000000,23339506,-46660494
Babam ve Oglum,2005,8.2,98675,"Drama, Family",Not Rated,112,Çagan Irmak,"Çetin Tekindor, Fikret Kuskan, Hümeyra",18612999,,
Ah-ga-ssi,2016,8.1,193336,"Drama, Romance, Thriller",A,145,Park Chan-wook,"Kim Min-hee, Ha Jung-woo, Cho Jin-woong",,37863670,
Network,1976,8.1,182100,Drama,UA,121,Sidney Lumet,"Faye Dunaway, William Holden, Peter Finch",3800000,,
La battaglia di Algeri,1966,8.1,72733,"Drama, War",Not Rated,121,Gillo Pontecorvo,"Brahim Hadjadj, Jean Martin, Yacef Saadi",800000,962002,162002
The Grapes of Wrath,1940,8.1,106430,Drama,Approved,129,John Ford,"Henry Fonda, Jane Darwell, John Carradine",800000,,
To Be or Not to Be,1942,8.1,48128,"Comedy, Romance, War",Approved,99,Ernst Lubitsch,"Carole Lombard, Jack Benny, Robert Stack",3270000,,
Gekijô-ban Kimetsu no Yaiba Mugen Ressha-hen,2021,8.2,90472,"Animation, Action, Adventure",UA,117,Haruo Sotozaki,"Natsuki Hanae, Akari Kitô, Yoshitsugu Matsuoka",15000000,486451200,471451200
Into the Wild,2018,8,685891,"Adventure, Biography, Drama",U,148,Sean Penn,"Emile Hirsch, Vince Vaughn, Catherine Keener",15000000,56676733,41676733
Gangs of Wasseypur,2012,8.2,110158,"Action, Comedy, Crime",A,321,Anurag Kashyap,"Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia",,,
The Help,2011,8.1,519072,Drama,UA,146,Tate Taylor,"Viola Davis, Emma Stone, Octavia Spencer",25000000,221802186,196802186
Drishyam,2015,8.2,104019,"Crime, Drama, Mystery",UA,163,Nishikant Kamat,"Ajay Devgn, Shriya Saran, Tabu",9400000,,
Groundhog Day,1993,8,725774,"Comedy, Drama, Fantasy",U,101,Harold Ramis,"Bill Murray, Andie MacDowell, Chris Elliott",14600000,71108778,56508778
